ARTICLE_ID,TITLE,SECTION_TITLE,SECTION_TEXT
574602,Trash (video game),Storyline,"The game takes place in a post-apocalyptic future where after the great nuclear war of 2015 peace treaties were signed nuclear weapons were destroyed and civilization was slowly rebuilt. However 8 years after treaties were signed a fleet of alien ships appeared outside Earth's atmosphere. Several super weapons were fired from the largest of the alien spacecraft the resulting explosions causing major alterations to Earth's geography. Fearing for the lives of every human on earth the United States Government unleashed its hidden nuclear arsenal on the alien ships. The resulting explosions rained down onto the planet causing buildings to be destroyed and the air to be poisoned by radiation. As a result in 10 hours 5 of the 9 billion humans on Earth were killed.

The remaining smaller alien ships traveled into Earth's atmosphere but never landed due to resistance by the remaining humans on earth.

After the alien ships left mutants slowly began to appear initially doing nothing more than raiding human settlements for building materials and kidnapping humans. As these incidents were few and far between and by now many people had lost much of their families and other social contacts most of these went unnoticed.

However the mutants had their own plans. The mutants were hybrids of the aliens that came to conquer Earth. They injected captured humans with their own DNA causing them to mutate. Eventually the mutants' forces were strong enough to take on the humans. The mutants deployed their forces and the war between the humans and mutants began.
"
562013,Richard Bruce Nugent,Bibliography,"*''Shadow''
*''My Love''
*''Narcissus''
*''Incest''
*''Who Asks This Thing?''
*''Bastard Song''
*''Sahdji''
*''Smoke Lilies and Jade''
*''The Now Discordant Song of Bells''
*''Slender Length of Beauty''
*''Tunic with a Thousand Pleats''
*''Pope Pius the Only''
*''On Harlem''
*''On Georgette Harvey''
*''On Gloria Swanson''
*''Lunatique''
*''Pattern for Future Dirges''
*''Paupaulekejo'' (with Georgia Douglas Johnson)
*''Tax Fare'' (with Rose McClendon)


"
687468,RealPC,References,"

*RealPC Installation and User's Guide. Copyright 1997. Insignia Solutions.


"
185169,Mahajanga Province,Abolition,"The provinces were abolished following the results of Malagasy constitutional referendum 2007 which led to the formation of 22 smaller areas (''faritra'' or regions) to facilitate regional development.
"
679231,Zeta Aquarii,Etymology,"In the catalogue of stars in the ''Calendarium of Al Achsasi Al Mouakket'' this star was designated '''Achr al Achbiya''' ('''أجر ألأجبية''' - ''akhir al ahbiyah'') which was translated into Latin as '''Postrema Tabernaculorum''' meaning ''the end of luck of the homes (tents)''. This star along with γ Aqr (Sadachbia) π Aqr (Seat) and η Aqr (Hydria) were '''al Aḣbiyah''' ('''الأخبية''') the Tent.

In Chinese  () meaning ''Tomb'' refers to an asterism consisting of ζ Aquarii γ Aquarii η Aquarii and π Aquarii. Consequently ζ Aquarii itself is known as  ( .)
"
735546,Génépi,Geographical origins,"The wormwoods known as génépi are endemic to the Alps and Pyrenees but can also be found in the Apennines and other mountainous regions in the western and central north Mediterranean. However in the strictest sense the name génépi applies only to those members of the genus Artemisia growing in the Savoy region known as Genepi. While the name clearly reflects a geographical origin the European Union does not protect French génépi liqueur under its Protected Geographical Status system. Instead as of 2008 while génépi  is recognized as a category of spirit to be regulated by the EU only génépi of Italian origin (from Val d’Aosta and Piemonte) is protected. Under the EU legislation the name génépi is limited in use to those Italian products but unlike under systems of appellation there are few regulations or limitations on how the product is produced or what ingredients are used in making it. A beverage may be labelled and sold as génépi only if it complies with general EU requirements for liqueur such as a minimum sugar content (expressed as invert sugar) of 100 grams per litre.

Swiss chocolate is sold in France (and no doubt elsewhere) with the wording in English (as well as in French and German) ""Milk Chocolate with a Swiss Genepi Liquor filling"". 

As of 2011 it does not appear that the French AOC system recognizes génépi from Savoy or anywhere else.
"
598831,Moon Geun-young,Charity,"
===Morning Reading===
Moon donated close to  to Morning Reading a non-profit organization that promotes reading books. She gave  in 2005  in 2006 and  in 2007. Moon made the contributions secretly through her mother Ryu Seon-young but her good deeds became known when Morning Reading revealed its 2007 account information online.

===Haenam Children's Center===
Moon donated about  in 2006 to a learning center for poor children in Haenam County South Jeolla Province near her hometown of Gwangju. Bae Yo-seop opened an after-school study room for children from poor or single-parent families to study there for free in 2002. The program was facing closure in October 2006 when the landlord told Bae that the house would be sold. A new building equipped with library computer room bathhouse and dining room was built on the land and the  expense was also covered by Moon. Moon also paid an unannounced visit to their classrooms.

===Community Chest of Korea===
Moon donated more than  over the last ten years to the Community Chest of Korea a nationwide network of 16 nonprofit fundraising organizations becoming the biggest individual donor. Moon had wanted to remain an anonymous donor but the organization was pressured by a media frenzy to identify her. Her donations were used to build children's libraries and subsidize hospital costs for children suffering from leukemia or cancer. Apart from the Community Chest of Korea Moon has also given several hundred millions of won to scholarship foundations.

Because of her charitable activities particularly for the Community Chest of Korea Moon was selected among 100 people that ""lit up the world"" in 2008 in a survey conducted by the Korea Green Foundation.

===Hangeul Library in Sydney===
Moon again showed her generosity by building a Korean library for young Korean expatriates in Australia. Working with the Lindfield Korean School in Sydney the actress donated  towards construction of a permanent Korean library (called the Hangeul Library) and also donated 10000 books to over 40 Korean schools scattered across the city. Moon has been donating books with her own money since 2006 when she saw during a visit to her relatives in Australia how young Korean students there did not have enough books or places to learn Korean.

===Donated Haenam Children's Center to NGO Group===
In April 2009 Moon donated the Haenam Children's Center to be used as a study room for poor students to the NGO group Good People an international charity group of UN UCOSCO special consultative status aiming to improve self-sustainability and eradicate extreme poverty through restoration of self-esteem using the principles of human dignity and equality at a global level.
"
387117,Federal University of Rio Grande,External links,"* Official Website (in Portuguese)














"
273053,Sefanaia Sukanaivalu,Biography,"Sukanaivalu was born on Yacata Fiji on 1 January 1918 and joined the Fiji Infantry Regiment during World War II. By mid-1944 he was a Corporal in the 3rd Battalion which was taking part in the Bougainville campaign. He died under Japanese fire on 23 June 1944 at Mawaraka during an attempt to rescue comrades in circumstances which led to his being awarded the Victoria Cross.

The citation reads:



Sukanaivalu is buried at Rabaul (Bita Paka) War Cemetery New Britain Papua New Guinea.
"
211027,Citroën BX,See also,"*Anadol FW 11 (1977)
"
